model,dataset,d_effective,r2_val,v_eps01,v_eps05,v_eps10,n_pairs_eps01,n_pairs_eps05,n_pairs_eps10,lip_q50,lip_q90,lip_q95,lip_q99,lip_tail_ratio,lip_mean,lip_std,tau,diameter,n_folds
chebytree,qm7,14,0.7689279970753178,0.0015609237924694278,0.12426499721841926,0.5079860497130433,1406,6445,25113,18.52021251264088,48.116846251125025,56.642516360035245,90.4631388726467,0.6770412041587001,23.67295649267199,22.097270644525338,59.60234560895684,48.70073108931361,5
dt,qm7,14,0.7376936139648136,0.04695164349668084,0.21949525025359234,0.5351099600291807,1406,6445,25113,17.477568887603905,56.24865956642894,71.73336444065255,143.8336729195863,0.9100278729490144,26.252465383235272,71.05012682702072,58.49840862527608,48.70073108931361,5
erbf,qm7,14,0.7855933230144541,0.0003041825095057034,0.1660374809262092,0.5263501626796939,1406,6445,25113,21.878482468643035,53.992710310522774,64.94844169353435,97.38665951712457,0.6435270044129955,26.707010301385928,22.074650386265937,59.949506362904856,48.70073108931361,5
rf,qm7,14,0.7719601761697905,0.0045744294177899065,0.12885189996716565,0.5013502056117494,1406,6445,25113,15.15293752226338,46.59220331419795,54.6809980490023,93.51190124122826,0.7888703365783816,21.84550704833695,32.9985630874099,56.60761234336589,48.70073108931361,5
ridge,qm7,14,0.7462601394985928,0.0,0.0,0.07535188332327415,794,1413,2420,36.852571730639156,92.38221292418005,104.63748498701402,123.3747620709679,0.5248509129068172,42.9590580227941,34.37112172426039,57.89122333039545,7.98727095901378,5
xgb,qm7,14,0.7791666294058365,0.03847046889806806,0.18044392886324792,0.5339581462683796,1406,6445,25113,20.704979315740097,56.7679869327546,72.71796851103915,234.21457978981115,1.0432122304416374,33.144616195748846,96.90438099623748,59.86537551879883,48.70073108931361,5
chebypoly,qsar_fish_toxicity,6,0.562400435697798,0.0,0.0048534280868933214,0.1849972264239533,315,423,1079,0.5359344622254603,1.173254950887858,1.3436325520432202,1.7426456523932417,0.510206287760645,0.5991084045642562,0.41346417303196237,0.35146295682043077,4.937312497342949,5
chebytree,qsar_fish_toxicity,6,0.5680343586952386,0.0,0.020062231698631472,0.21324674450727205,315,423,1079,0.5273428395827888,1.2673031934157717,1.5081873155970018,2.0277403580073394,0.5794345336274426,0.6196060369501809,0.4755019339938846,0.3451026786007614,4.937312497342949,5
dt,qsar_fish_toxicity,6,0.5020427765067172,0.0,0.07051382963762867,0.2686989502938181,315,423,1079,0.5007025719536984,1.6537579080778748,2.124685665414512,3.3364052588289645,0.8206776290550156,0.6756762327871265,0.7614278102063617,0.3390331329533184,4.937312497342949,5
erbf,qsar_fish_toxicity,6,0.6144552424343399,0.0,0.01642745169276528,0.21753776221744103,315,423,1079,0.5236295264703601,1.262937531767587,1.5123557848209515,2.000852667383458,0.5820354078494601,0.620394292637106,0.46516344347996225,0.3379375834335819,4.937312497342949,5
rf,qsar_fish_toxicity,6,0.6184931211236316,0.0,0.02844672760371424,0.22785849945931594,315,423,1079,0.47624542334065356,1.2304601878085448,1.4894046220296933,2.080284475104047,0.6404501294679231,0.584488734503494,0.4770157188501953,0.3165497936454023,4.937312497342949,5
ridge,qsar_fish_toxicity,6,0.5600410491135975,0.0,0.0,0.06035420210589283,315,374,759,0.35028834245248475,0.6787718298501769,0.7464704870540401,0.819561997992062,0.36917718952583733,0.3666442570228421,0.22263714305167417,0.3239779129510641,5.7390498805670775,5
xgb,qsar_fish_toxicity,6,0.5554202837302322,0.0,0.06180966670566668,0.316674417786401,315,423,1079,0.6185764897576315,1.6488754207043694,2.0013139449089725,2.8630907531938603,0.6630887126200005,0.7709889306107983,0.6545174570890036,0.3415023684501648,4.937312497342949,5
chebypoly,qsar_tid_11,50,0.409154620464416,0.0,0.0,0.0,1441,1441,1441,0.24943439086521502,0.6287989995813676,0.7747476824719414,1.0441386096494643,0.6216856780429253,0.3003366026973926,0.23570497587488806,0.3018636272246388,5.0,5
chebytree,qsar_tid_11,50,0.5241248976016134,0.0,0.0,0.0,1441,1441,1441,0.261360553824187,0.8139604169901844,1.0586550349881148,1.6459598836834828,0.7979405485701154,0.3636590877011,0.3454329732725669,0.3410779690797064,5.0,5
dt,qsar_tid_11,50,0.38829038374298885,0.0,0.0,0.0,1441,1441,1441,0.014050464722144542,0.7383303117344612,0.9962383816868717,1.5404753435456096,1.892278466550044,0.22737681445345964,0.3544737523430428,0.30278828254413603,5.0,5
erbf,qsar_tid_11,50,0.5328821030755906,0.0,0.0,0.0,1441,1441,1441,0.31168483422058924,0.9691963614175755,1.2452068489495742,1.9231233938054177,0.7922746101553059,0.4237937266439967,0.40328772393422013,0.3539852594718607,5.0,5
rf,qsar_tid_11,50,0.46916675038155314,0.0,0.0,0.0,1441,1441,1441,0.1152214407762648,0.48465248207367856,0.6510907878182748,1.0280032156307661,0.9504003118395603,0.19308372220706702,0.22087152782912384,0.27906851748323513,5.0,5
ridge,qsar_tid_11,50,0.3316197750715301,0.0,0.0,0.0,1441,1441,1441,0.07338875528481656,0.18506089201869227,0.21506323159377735,0.2676545630990922,0.5616120239926278,0.08646027006039492,0.06781383729453738,0.2683872351667535,13.188724552214032,5
xgb,qsar_tid_11,50,0.5948767995574732,0.0,0.0,0.0,1441,1441,1441,0.30612395693186184,1.0064232871610683,1.3291983505696698,1.9768399894602644,0.8103430297364616,0.4378036224701911,0.42584957793706624,0.3693844676017761,5.0,5
chebypoly,student_performance,29,0.27087326444772075,0.0,0.0,0.0,377,377,377,0.2746793481257372,0.6663933964695965,0.8143642087602059,1.0904804311254,0.5984951321538304,0.3236619407065473,0.25099947863047695,0.541921401355476,15.334096088531206,5
chebytree,student_performance,29,0.26428743978541736,0.0,0.0,0.0,377,377,377,0.2915097591489995,0.8105368523882855,1.0593237960584976,1.4187657240421763,0.6858686034924432,0.3729967228933567,0.3227506782310522,0.6260485258757941,15.334096088531206,5
