model,dataset,rho_mean,rho_std,r2_val,n_folds
rf,pmlb_1029_LEV,0.4398831247416071,0.030667557917086884,0.5267229175578436,5
ridge,pmlb_1029_LEV,0.4922693089017439,0.03047094796447171,0.5535586840117231,5
xgb,pmlb_1029_LEV,0.47796109678133974,0.03988407970888869,0.5035885541285652,5
chebypoly,pmlb_1030_ERA,0.30334834817600187,0.05445103190729331,0.3429842697867601,5
chebytree,pmlb_1030_ERA,0.2615326478305378,0.01725487207555461,0.3683165810133759,5
dt,pmlb_1030_ERA,0.2729226858601413,0.02562645184353648,0.33753402532809557,5
erbf,pmlb_1030_ERA,0.2950363154143637,0.042704566782082586,0.3472139393111183,5
rf,pmlb_1030_ERA,0.2489321350990959,0.03557693112643239,0.34566866805944907,5
ridge,pmlb_1030_ERA,0.27330160351090454,0.020502678263215085,0.35457541114427,5
xgb,pmlb_1030_ERA,0.35875219021997085,0.05350701837425126,0.32827654858032834,5
chebypoly,pmlb_215_2dplanes,0.6598002372212435,0.004070492018359953,0.9483599434061404,5
chebytree,pmlb_215_2dplanes,0.6582185026741907,0.0036318433849420887,0.9483954620985058,5
dt,pmlb_215_2dplanes,0.6544067470338701,0.004108886774437333,0.9483892228361265,5
erbf,pmlb_215_2dplanes,0.661478095637535,0.003554738508006627,0.9483309945932014,5
rf,pmlb_215_2dplanes,0.6329027959373894,0.0041877907901139546,0.9465591060193865,5
ridge,pmlb_215_2dplanes,0.5710052654681592,0.006367968288970644,0.705279855402343,5
xgb,pmlb_215_2dplanes,0.6800725726153164,0.010884465093004277,0.9467377432226817,5
chebypoly,pmlb_218_house_8L,0.9392676988330871,0.0207222077249592,0.6384555040564909,5
chebytree,pmlb_218_house_8L,0.79362534137055,0.023583568760375085,0.6570051741370635,5
dt,pmlb_218_house_8L,0.75356905421576,0.01518003219288404,0.5752267791110474,5
erbf,pmlb_218_house_8L,0.8918697190109889,0.021969358495265563,0.6606857817899072,5
rf,pmlb_218_house_8L,0.7093590466145417,0.01104417559537973,0.6216413229330969,5
ridge,pmlb_218_house_8L,0.29782833305593537,0.006691078649504265,0.38070083340054495,5
xgb,pmlb_218_house_8L,0.78087881037261,0.03586966741075257,0.6719701040126369,5
chebypoly,pmlb_225_puma8NH,0.3580605232314643,0.003025695292784374,0.4319275291102908,5
chebytree,pmlb_225_puma8NH,0.5985281918250549,0.008838624135683766,0.6717504795040783,5
dt,pmlb_225_puma8NH,0.5991205272178407,0.006218687315977818,0.6491900297076064,5
erbf,pmlb_225_puma8NH,0.5840056362265054,0.008503463981171014,0.6865307983644191,5
rf,pmlb_225_puma8NH,0.5244585228736288,0.006369572891728251,0.6762776174917522,5
ridge,pmlb_225_puma8NH,0.34683904914315977,0.006734276278645814,0.3686474620599003,5
xgb,pmlb_225_puma8NH,0.5791146640468525,0.015752391241764703,0.6567396825317859,5
chebypoly,pmlb_4544_GeographicalOriginalofMusic,0.8919738458195559,0.029985127404917624,0.7926187402174303,5
chebytree,pmlb_4544_GeographicalOriginalofMusic,0.8360317591679263,0.03377509597344186,0.7464246356535651,5
dt,pmlb_4544_GeographicalOriginalofMusic,0.8247247862900705,0.07470461402331456,0.5441183855493261,5
erbf,pmlb_4544_GeographicalOriginalofMusic,0.8826379077231458,0.03886097217337398,0.7679641808115913,5
rf,pmlb_4544_GeographicalOriginalofMusic,0.7186764888893757,0.0316817252136036,0.7198595152343426,5
ridge,pmlb_4544_GeographicalOriginalofMusic,0.8133248041995025,0.0428487774444625,0.7917677899206058,5
xgb,pmlb_4544_GeographicalOriginalofMusic,0.7953320839381213,0.03347583122364974,0.692556927215153,5
chebypoly,pmlb_503_wind,0.6115432448595577,0.016845739700836394,0.799971795865244,5
chebytree,pmlb_503_wind,0.5876462679243539,0.009842101300475184,0.7851871011974303,5
dt,pmlb_503_wind,0.5807354860065791,0.02450426330491885,0.7063409865479487,5
erbf,pmlb_503_wind,0.607298007915745,0.015888043649732002,0.7911592333393426,5
rf,pmlb_503_wind,0.45966082128383806,0.009338331386521575,0.7603143189282358,5
ridge,pmlb_503_wind,0.5109068266872496,0.010353468080482946,0.7583425342540757,5
xgb,pmlb_503_wind,0.6141726925735997,0.02670383525395679,0.7688518340770014,5
chebypoly,pmlb_522_pm10,0.7347357545973485,0.11127290829938945,0.3609052988087631,5
chebytree,pmlb_522_pm10,0.661415981474834,0.0676116519351454,0.10946801594704847,5
dt,pmlb_522_pm10,0.5990836391726615,0.08979064659777654,0.1471269013340673,5
erbf,pmlb_522_pm10,0.670567908105322,0.07371356717264986,0.4088699392132268,5
rf,pmlb_522_pm10,0.5402808500569692,0.0789624832020042,0.37659294965041623,5
ridge,pmlb_522_pm10,0.21991603267752105,0.04319719774518422,0.1379161113872324,5
xgb,pmlb_522_pm10,0.6217656689129364,0.1510517569653758,0.30827222822875777,5
chebypoly,pmlb_529_pollen,0.6630006777628524,0.015650529325443367,0.7917387841657465,5
chebytree,pmlb_529_pollen,0.6691329040234623,0.015345831407800627,0.792174879316772,5
dt,pmlb_529_pollen,0.7289956001109407,0.029948977163907632,0.6399025076782965,5
erbf,pmlb_529_pollen,0.6673061260322946,0.017181671814993086,0.7915253499931418,5
rf,pmlb_529_pollen,0.5127737863380755,0.012145072644797066,0.710258533584204,5
ridge,pmlb_529_pollen,0.6512678272489077,0.015144185066393322,0.7924078183526304,5
