model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
dt,airfoil_noise,5,0.7262144975392897,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,39.156584543496045,112.86034759199882,5.288255786692316,23.557590853838185,0.06880411248193842,178.3368274518567,1.8608558016374537,100,0.07135683514486087,2999,5
erbf,airfoil_noise,5,0.9211284839848404,0.6557238770783421,0.4014984911681818,4.826516844455488,9.460417961908188,17.274473334992237,24.298175809825654,44.460358238246116,7.562561444745642,8.9396897804449,0.029335000555740797,51.38624640277514,1.9999337018323107,100,0.07135683514486087,2999,5
rf,airfoil_noise,5,0.828774795708816,0.9774750013012337,0.5368812715648034,0.7816564510520461,3.9028518215620442,11.485585156120948,18.71588622292287,41.030095683919356,3.9616200244403443,8.522220850052602,0.03073446704457041,58.83661388180458,1.6294188601037878,100,0.07135683514486087,2999,5
ridge,airfoil_noise,5,0.5053380731514416,0.18619777071582164,0.0892492995564392,2.427487662367162,3.671328686357497,4.603445555098189,5.038867351704448,5.666745332698428,2.494886434322387,1.5089175872411658,0.00013333333333333334,5.928101686560822,1.4792206483245747,100,0.07138892364891085,2999,5
xgb,airfoil_noise,5,0.9237879607902834,0.6570744698272154,0.40307111490319214,19.738700786934196,41.54451113953182,76.13228972274524,106.53182935462027,195.74921408575034,32.765685838755,44.184175198643366,0.3820908080471268,328.4537388812767,1.9709869623184204,100,0.07135683514486087,2999,5
chebypoly,analcatdata_supreme,5,0.9780457347145429,0.3384232199955703,0.1910200415123352,7.844782015591416,11.883799089123091,16.80583206399615,20.073289811136426,26.322369461963046,8.954090271259343,5.6907499950619025,0.9221797627364813,31.239973028087626,0.16267157388550274,100,0.11823162927325925,2996,5
chebytree,analcatdata_supreme,5,0.9779779014669071,0.352498826630945,0.2759701491552503,3.8536497077257676,4.91008553212352,5.877386165305788,6.511458291321563,11.849708201008568,3.8911541881197116,3.1119473964191835,0.7399551735916517,36.61844342947095,0.16262374761762316,100,0.11823162927325925,2996,5
dt,analcatdata_supreme,5,0.9780359444373345,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,0.012388025628226723,1.5768237534091427,0.05013117548988762,0.3976024186099432,0.014747624267616461,2.8396596191747845,0.16267498431972469,100,0.11823162927325925,2996,5
erbf,analcatdata_supreme,5,0.9767899266693718,1.3072499641806343,0.7775647454411566,0.03215567266371855,0.1138953168377785,0.4327965803908823,0.9916678619716883,2.7165450293974738,0.19549168105220205,0.5480735298146181,0.017749604783877392,4.847348816229199,0.16253718796590183,100,0.11823162927325925,2996,5
rf,analcatdata_supreme,5,0.9724473569498706,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,0.019912722971043146,1.3869673593486445,0.06282420125428391,1.3423096428348442,0.012010461601740727,3.117045430563867,0.15818653952713807,100,0.11823162927325925,2996,5
ridge,analcatdata_supreme,5,0.4302212893383047,0.45075721336285157,0.07467893188777039,0.0467369880402236,0.12587553640439988,0.3042809130139605,0.3619725666240544,0.3619725666240988,0.09491678876010481,0.10813466268866201,6.6711140760507e-05,0.362242975152728,0.1082686843568685,100,0.11907482074411246,2996,5
xgb,analcatdata_supreme,5,0.9775817970700398,1.727986991733213,1.0247760089828941,0.0320427962755922,0.1533931813119443,1.426173430269023,3.4671808027337505,16.694330018276272,1.3000367895435965,18.261834135197248,0.08569772185867729,87.65778512326526,0.16172000765800476,100,0.11823162927325925,2996,5
chebypoly,california_housing,8,0.7300950928962384,0.5409923306543957,0.3437378560522911,0.5155701814361848,0.9641025386826172,1.5379899226832268,1.9874146713278473,3.445303842684684,0.7114932549246954,0.7169155202249646,0.012893772893772895,4.326897657281025,0.29703780456262463,182,0.04869243600030202,5460,5
chebytree,california_housing,8,0.7514483521936013,0.9670787654591555,0.704333809263313,0.48976448225185115,0.9962619981450661,1.9174180605402167,3.244719128543435,10.245595243797007,0.9903676877508335,2.018224809814261,0.03684981684981685,13.866536374670844,0.30740231804339635,182,0.04869243600030202,5460,5
dt,california_housing,8,0.6672706932636479,2.0043213737826426,1.6848325205845132,0.0,0.0,0.36531066157816316,5.346239757189022,17.482536939276297,0.7749390559806401,3.434082933999813,0.0665934065934066,22.900292621651555,0.2884830441382838,182,0.04869243600030202,5460,5
erbf,california_housing,8,0.7918151767467567,0.6262483166622487,0.3664794470225333,0.43329286071604367,0.9719020573637153,1.8016228317172174,2.4751933746634425,4.236202356810093,0.736150801601397,0.8883907644698518,0.0005128205128205129,5.542259209216892,0.3095233097514522,182,0.04869243600030202,5460,5
rf,california_housing,8,0.7395950209365623,0.8002904706848127,0.48966004897717974,0.28035407801577855,0.7015063964768048,1.4847738035072897,2.201120304583326,4.740416579368239,0.6011897604712848,0.9830068921760405,0.007948717948717949,6.125676272993723,0.26835571666127933,182,0.04869243600030202,5460,5
ridge,california_housing,8,0.6009110375144694,0.26945749753392045,0.1398216544963205,0.3729146758502678,0.6182497033033163,0.8375115141447287,0.9600734496425627,1.1631259376231664,0.4196529891743596,0.29077875610046905,0.009304029304029304,1.27725450595123,0.2656052848863144,182,0.048520939497928815,5460,5
xgb,california_housing,8,0.829206054905139,0.7499158465338895,0.4571563344422107,1.0531751208320006,2.6809903374849933,5.412376271985538,7.889033743592799,15.834648395727195,2.1444661040108985,3.244690203607264,0.07586080586080587,19.25301639831548,0.31760114431381226,182,0.04869243600030202,5460,5
